sfType,sysType,ptMin,ptMax,etaMin,etaMax,sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,60.0,120.0,1.2,2.1,,,,,,,0.9983419303512446
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,60.0,120.0,2.1,2.4,,,,,,,1.0067517568437327
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,60.0,120.0,2.1,2.4,,,,,,,1.0097315859722158
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,60.0,120.0,2.1,2.4,,,,,,,1.0037719277152497
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,120.0,200.0,0.0,0.9,,,,,,,0.9770888715191455
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,120.0,200.0,0.0,0.9,,,,,,,0.9794936291822947
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,120.0,200.0,0.0,0.9,,,,,,,0.9746841138559966
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,120.0,200.0,0.9,1.2,,,,,,,0.972104806903544
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,120.0,200.0,0.9,1.2,,,,,,,0.9753440590605142
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,120.0,200.0,0.9,1.2,,,,,,,0.9688655547465737
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,120.0,200.0,1.2,2.1,,,,,,,1.0085561002219539
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,120.0,200.0,1.2,2.1,,,,,,,1.0130044854625184
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,120.0,200.0,1.2,2.1,,,,,,,1.0041077149813893
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,120.0,200.0,2.1,2.4,,,,,,,1.0085647709063792
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,up,120.0,200.0,2.1,2.4,,,,,,,1.024330313065532
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,down,120.0,200.0,2.1,2.4,,,,,,,0.992799228747226
Mu50_OR_OldMu100_OR_TkMu100_PtEtaBins,central,200.0,300.0,0.0,0.9,,,,,,,0.9838103444893923
