process,jetsMin,jetsMax,htMin,htMax,factor
ttcc,7.5,100.0,300.0,400.0,1.0058428049087524
ttcc,0.0,4.5,400.0,500.0,1.0001674890518188
ttcc,4.5,5.5,400.0,500.0,1.0111362934112549
ttcc,5.5,6.5,400.0,500.0,1.013960361480713
ttcc,6.5,7.5,400.0,500.0,1.0024205446243286
ttcc,7.5,100.0,400.0,500.0,0.9955260753631592
ttcc,0.0,4.5,500.0,600.0,0.9840101599693298
ttcc,4.5,5.5,500.0,600.0,0.9939395189285278
ttcc,5.5,6.5,500.0,600.0,1.0028976202011108
ttcc,6.5,7.5,500.0,600.0,1.002943992614746
ttcc,7.5,100.0,500.0,600.0,1.0007524490356445
ttcc,0.0,4.5,600.0,700.0,0.9656504392623901
ttcc,4.5,5.5,600.0,700.0,0.972018837928772
ttcc,5.5,6.5,600.0,700.0,0.9815806150436401
ttcc,6.5,7.5,600.0,700.0,0.9885340332984924
ttcc,7.5,100.0,600.0,700.0,0.9947869181632996
ttcc,0.0,4.5,700.0,800.0,0.9510133862495422
ttcc,4.5,5.5,700.0,800.0,0.9541410803794861
ttcc,5.5,6.5,700.0,800.0,0.9699319005012512
ttcc,6.5,7.5,700.0,800.0,0.977644145488739
ttcc,7.5,100.0,700.0,800.0,0.9747269749641418
ttcc,0.0,4.5,800.0,900.0,0.930455207824707
ttcc,4.5,5.5,800.0,900.0,0.9363390207290649
ttcc,5.5,6.5,800.0,900.0,0.9413641691207886
ttcc,6.5,7.5,800.0,900.0,0.9557096362113953
ttcc,7.5,100.0,800.0,900.0,0.940832793712616
ttcc,0.0,4.5,900.0,1000.0,0.9105638861656189
ttcc,4.5,5.5,900.0,1000.0,0.925121009349823
ttcc,5.5,6.5,900.0,1000.0,0.9278940558433533
ttcc,6.5,7.5,900.0,1000.0,0.930970311164856
ttcc,7.5,100.0,900.0,1000.0,0.9361773133277893
ttcc,0.0,4.5,1000.0,10000.0,0.8792593479156494
ttcc,4.5,5.5,1000.0,10000.0,0.8672658205032349
ttcc,5.5,6.5,1000.0,10000.0,0.8664931058883667
ttcc,6.5,7.5,1000.0,10000.0,0.8702535629272461
ttcc,7.5,100.0,1000.0,10000.0,0.8535575866699219
ttlf,0.0,4.5,0.0,50.0,0.0
ttlf,4.5,5.5,0.0,50.0,0.0
ttlf,5.5,6.5,0.0,50.0,0.0
ttlf,6.5,7.5,0.0,50.0,0.0
ttlf,7.5,100.0,0.0,50.0,0.0
ttlf,0.0,4.5,50.0,100.0,0.0
ttlf,4.5,5.5,50.0,100.0,0.0
ttlf,5.5,6.5,50.0,100.0,0.0
ttlf,6.5,7.5,50.0,100.0,0.0
ttlf,7.5,100.0,50.0,100.0,0.0
ttlf,0.0,4.5,100.0,150.0,0.9905015230178833
ttlf,4.5,5.5,100.0,150.0,0.0
ttlf,5.5,6.5,100.0,150.0,0.0
ttlf,6.5,7.5,100.0,150.0,0.0
ttlf,7.5,100.0,100.0,150.0,0.0
ttlf,0.0,4.5,150.0,200.0,1.0234732627868652
ttlf,4.5,5.5,150.0,200.0,1.0069429874420166
ttlf,5.5,6.5,150.0,200.0,1.0903284549713135
ttlf,6.5,7.5,150.0,200.0,0.0
ttlf,7.5,100.0,150.0,200.0,0.0
ttlf,0.0,4.5,200.0,300.0,1.0350604057312012
ttlf,4.5,5.5,200.0,300.0,1.0341461896896362
ttlf,5.5,6.5,200.0,300.0,1.0197193622589111
ttlf,6.5,7.5,200.0,300.0,0.9913353323936462
ttlf,7.5,100.0,200.0,300.0,1.1163792610168457
ttlf,0.0,4.5,300.0,400.0,1.0287617444992065
ttlf,4.5,5.5,300.0,400.0,1.036287546157837
ttlf,5.5,6.5,300.0,400.0,1.032243251800537
ttlf,6.5,7.5,300.0,400.0,1.0091702938079834
ttlf,7.5,100.0,300.0,400.0,0.992464005947113
ttlf,0.0,4.5,400.0,500.0,1.0125906467437744
ttlf,4.5,5.5,400.0,500.0,1.0265523195266724
ttlf,5.5,6.5,400.0,500.0,1.0269310474395752
ttlf,6.5,7.5,400.0,500.0,1.0195446014404297
ttlf,7.5,100.0,400.0,500.0,0.9971705079078674
ttlf,0.0,4.5,500.0,600.0,0.9862018823623657
ttlf,4.5,5.5,500.0,600.0,1.004321813583374
